exit_code: 0

stdout:
UID          PID    PPID  C STIME TTY          TIME CMD
root          94       2  0 17:04 ?        00:00:00 [kworker/R-crypt]
root          95       2  0 17:04 ?        00:00:00 [kworker/R-kinte]
root          96       2  0 17:04 ?        00:00:00 [kworker/R-kbloc]
root          97       2  0 17:04 ?        00:00:00 [irq/9-acpi]
root          99       2  0 17:04 ?        00:00:00 [kworker/R-tpm_d]
root         100       2  0 17:04 ?        00:00:00 [kworker/R-md]
root         101       2  0 17:04 ?        00:00:00 [kworker/R-md_bi]
root         102       2  0 17:04 ?        00:00:00 [kworker/R-edac-]
root         103       2  0 17:04 ?        00:00:00 [watchdogd]
root         106       2  0 17:04 ?        00:00:00 [kworker/2:1H-kblockd]
root         108       2  0 17:04 ?        00:00:00 [kswapd0]
root         125       2  0 17:04 ?        00:00:00 [kworker/R-kthro]
root         129       2  0 17:04 ?        00:00:00 [kworker/R-acpi_]
root         130       2  0 17:04 ?        00:00:00 [kworker/R-kmpat]
root         131       2  0 17:04 ?        00:00:00 [kworker/R-kalua]
root         132       2  0 17:04 ?        00:00:00 [kworker/R-mld]
root         133       2  0 17:04 ?        00:00:00 [kworker/6:1H-kblockd]
root         134       2  0 17:04 ?        00:00:00 [kworker/R-ipv6_]
root         139       2  0 17:04 ?        00:00:00 [kworker/R-kstrp]
root         142       2  0 17:04 ?        00:00:00 [kworker/7:1-events]
root         143       2  0 17:04 ?        00:00:00 [kworker/5:1-events_power_ef
root         147       2  0 17:04 ?        00:00:00 [kworker/u41:0]
root         293       2  0 17:04 ?        00:00:00 [kworker/8:1H-kblockd]
root         296       2  0 17:04 ?        00:00:00 [kworker/3:1H-kblockd]
root         300       2  0 17:04 ?        00:00:00 [kworker/4:1H-kblockd]
root         301       2  0 17:04 ?        00:00:00 [kworker/5:1H-kblockd]
root         307       2  0 17:04 ?        00:00:00 [kworker/7:1H-kblockd]
root         311       2  0 17:04 ?        00:00:00 [kworker/0:1H-kblockd]
root         315       2  0 17:04 ?        00:00:00 [kworker/9:1H-kblockd]
root         450       2  0 17:04 ?        00:00:00 [kworker/1:1H-xfs-log/dm-0]
root         503       2  0 17:04 ?        00:00:00 [kworker/R-hv_vm]
root         504       2  0 17:04 ?        00:00:00 [kworker/R-hv_vm]
root         506       2  0 17:04 ?        00:00:00 [kworker/R-hv_pr]
root         508       2  0 17:04 ?        00:00:00 [kworker/R-hv_su]
root         513       2  0 17:04 ?        00:00:00 [scsi_eh_0]
root         514       2  0 17:04 ?        00:00:00 [kworker/R-scsi_]
root         587       2  0 17:04 ?        00:00:00 [kworker/R-kdmfl]
root         594       2  0 17:04 ?        00:00:00 [kworker/R-kdmfl]
root         615       2  0 17:04 ?        00:00:00 [kworker/R-xfsal]
root         616       2  0 17:04 ?        00:00:00 [kworker/R-xfs_m]
root         617       2  0 17:04 ?        00:00:00 [kworker/R-xfs-b]
root         618       2  0 17:04 ?        00:00:00 [kworker/R-xfs-c]
root         619       2  0 17:04 ?        00:00:00 [kworker/R-xfs-r]
root         620       2  0 17:04 ?        00:00:00 [kworker/R-xfs-b]
root         621       2  0 17:04 ?        00:00:00 [kworker/R-xfs-i]
root         622       2  0 17:04 ?        00:00:00 [kworker/R-xfs-l]
root         623       2  0 17:04 ?        00:00:00 [kworker/R-xfs-c]
root         624       2  0 17:04 ?        00:00:00 [xfsaild/dm-0]
root         712       1  0 17:04 ?        00:00:00 /usr/lib/systemd/systemd-jou
root         726       1  0 17:04 ?        00:00:00 /usr/lib/systemd/systemd-ude
root         791       2  0 17:04 ?        00:00:00 [hv_balloon]
root         830       2  0 17:04 ?        00:00:00 [kworker/R-kdmfl]
root         842       2  0 17:04 ?        00:00:00 [kworker/R-xfs-b]
root         843       2  0 17:04 ?        00:00:00 [kworker/R-xfs-b]
root         844       2  0 17:04 ?        00:00:00 [kworker/R-xfs-c]
root         845       2  0 17:04 ?        00:00:00 [kworker/R-xfs-c]
root         846       2  0 17:04 ?        00:00:00 [kworker/R-xfs-r]
root         847       2  0 17:04 ?        00:00:00 [kworker/R-xfs-r]
root         848       2  0 17:04 ?        00:00:00 [kworker/R-xfs-b]
root         849       2  0 17:04 ?        00:00:00 [kworker/R-xfs-b]
root         851       2  0 17:04 ?        00:00:00 [kworker/R-xfs-i]
root         852       2  0 17:04 ?        00:00:00 [kworker/R-xfs-i]
root         853       2  0 17:04 ?        00:00:00 [kworker/R-xfs-b]
root         854       2  0 17:04 ?        00:00:00 [kworker/R-xfs-c]
root         855       2  0 17:04 ?        00:00:00 [kworker/R-xfs-r]
root         856       2  0 17:04 ?        00:00:00 [kworker/R-xfs-b]
root         857       2  0 17:04 ?        00:00:00 [kworker/R-xfs-i]
root         858       2  0 17:04 ?        00:00:00 [kworker/R-xfs-l]
root         859       2  0 17:04 ?        00:00:00 [kworker/R-xfs-l]
root         860       2  0 17:04 ?        00:00:00 [kworker/R-xfs-c]
root         861       2  0 17:04 ?        00:00:00 [kworker/R-xfs-c]
root         862       2  0 17:04 ?        00:00:00 [xfsaild/sda2]
root         863       2  0 17:04 ?        00:00:00 [xfsaild/dm-2]
root         864       2  0 17:04 ?        00:00:00 [kworker/R-xfs-l]
root         865       2  0 17:04 ?        00:00:00 [kworker/R-xfs-c]
root         866       2  0 17:04 ?        00:00:00 [xfsaild/sdb1]
rpc          895       1  0 17:04 ?        00:00:00 /usr/bin/rpcbind -w -f
root         897       1  0 17:04 ?        00:00:00 /sbin/auditd
root         899     897  0 17:04 ?        00:00:00 /usr/sbin/sedispatch
root         925       2  0 17:04 ?        00:00:00 [kworker/R-rpcio]
root         926       2  0 17:04 ?        00:00:00 [kworker/R-xprti]
dbus         927       1  0 17:04 ?        00:00:00 /usr/bin/dbus-broker-launch 
dbus         928     927  0 17:04 ?        00:00:00 dbus-broker --log 4 --contro
root         929       1  0 17:04 ?        00:00:00 /usr/sbin/NetworkManager --n
avahi        930       1  0 17:04 ?        00:00:00 avahi-daemon: running [ai26.
root         933       1  0 17:04 ?        00:00:00 /usr/sbin/hypervkvpd -n
root         934       1  0 17:04 ?        00:00:00 /usr/sbin/hypervvssd -n
root         935       1  0 17:04 ?        00:00:00 /usr/sbin/irqbalance
libstor+     936       1  0 17:04 ?        00:00:00 /usr/bin/lsmd -d
root         937       1  0 17:04 ?        00:00:00 /usr/sbin/mcelog --daemon --
polkitd      938       1  0 17:04 ?        00:00:00 /usr/lib/polkit-1/polkitd --
rtkit        939       1  0 17:04 ?        00:00:00 /usr/libexec/rtkit-daemon
root         940       1  0 17:04 ?        00:00:00 /usr/libexec/accounts-daemon
root         941       1  0 17:04 ?        00:00:00 /usr/libexec/switcheroo-cont
root         946       1  0 17:04 ?        00:00:00 /usr/lib/systemd/systemd-log
root         947       1  0 17:04 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         951       1  0 17:04 ?        00:00:00 /usr/libexec/upowerd
chrony       952       1  0 17:04 ?        00:00:00 /usr/sbin/chronyd -F 2
avahi        955     930  0 17:04 ?        00:00:00 avahi-daemon: chroot helper
root         987       1  0 17:04 ?        00:00:00 /usr/sbin/ModemManager
root        1022       1  0 17:04 ?        00:00:00 /usr/sbin/cupsd -l
root        1034       1  0 17:04 ?        00:00:00 sshd: /usr/sbin/sshd -D [lis
root        1038       1  0 17:04 ?        00:00:01 /usr/bin/python3 -Es /usr/sb
root        1045       1  0 17:04 ?        00:00:00 /usr/sbin/gssproxy -D
root        1064       1  0 17:04 ?        00:00:00 /usr/sbin/rsyslogd -n
root        1067       1  0 17:04 ?        00:00:00 /usr/sbin/atd -f
root        1070       1  0 17:04 ?        00:00:00 /usr/sbin/crond -n
root        1078       1  0 17:04 ?        00:00:00 /usr/sbin/gdm
oracle      1591       1  0 17:04 ?        00:00:00 /usr/lib/systemd/systemd --u
oracle      1605    1591  0 17:04 ?        00:00:00 (sd-pam)
mysql       1813       1  0 17:04 ?        00:00:29 /usr/sbin/mysqld
oracle      1911       1  0 17:04 ?        00:00:00 /home/oracle/app/oracle/prod
oracle      1932       1  0 17:04 ?        00:00:01 ora_pmon_AI26
oracle      1936       1  0 17:04 ?        00:00:00 ora_clmn_AI26
oracle      1940       1  0 17:04 ?        00:00:01 ora_psp0_AI26
oracle      1944       1  0 17:04 ?        00:00:01 ora_vktm_AI26
oracle      1950       1  0 17:04 ?        00:00:00 ora_gen0_AI26
oracle      1954       1  0 17:04 ?        00:00:00 ora_mman_AI26
oracle      1960       1  0 17:04 ?        00:00:00 ora_gen2_AI26
oracle      1962       1  0 17:04 ?        00:00:00 ora_diag_AI26
oracle      1964       1  0 17:04 ?        00:00:00 ora_ofsd_AI26
oracle      1966       1  0 17:04 ?        00:00:00 ora_gwpd_AI26
oracle      1970       1  0 17:04 ?        00:00:01 ora_dbrm_AI26
oracle      1972       1  0 17:04 ?        00:00:00 ora_vkrm_AI26
oracle      1974       1  0 17:04 ?        00:00:00 ora_svcb_AI26
oracle      1977       1  0 17:04 ?        00:00:00 ora_pman_AI26
oracle      1980       1  0 17:04 ?        00:00:07 ora_dia0_AI26
oracle      1982       1  0 17:04 ?        00:00:03 ora_lmhb_AI26
oracle      1987       1  0 17:04 ?        00:00:01 ora_dbw0_AI26
oracle      1989       1  0 17:04 ?        00:00:00 ora_lgwr_AI26
oracle      1991       1  0 17:04 ?        00:00:01 ora_ckpt_AI26
oracle      1994       1  0 17:04 ?        00:00:00 ora_smon_AI26
oracle      1996       1  0 17:04 ?        00:00:00 ora_smco_AI26
oracle      1998       1  0 17:04 ?        00:00:00 ora_reco_AI26
oracle      2000       1  0 17:04 ?        00:00:00 ora_lreg_AI26
oracle      2002       1  0 17:04 ?        00:00:00 ora_pxmn_AI26
oracle      2008       1  0 17:04 ?        00:00:04 ora_mmon_AI26
oracle      2010       1  0 17:04 ?        00:00:03 ora_mmnl_AI26
oracle      2030       1  0 17:04 ?        00:00:19 ora_bg00_AI26
oracle      2032       1  0 17:04 ?        00:00:00 ora_nmon_AI26
oracle      2043       1  0 17:04 ?        00:00:00 ora_lg00_AI26
oracle      2045       1  0 17:04 ?        00:00:03 ora_bg01_AI26
root        2054       2  0 17:04 ?        00:00:00 [kworker/R-ib-co]
root        2055       2  0 17:04 ?        00:00:00 [kworker/R-ib-co]
root        2056       2  0 17:04 ?        00:00:00 [kworker/R-ib_mc]
root        2057       2  0 17:04 ?        00:00:00 [kworker/R-ib_nl]
oracle      2060       1  0 17:04 ?        00:00:00 ora_lg01_AI26
oracle      2067       1  0 17:04 ?        00:00:02 ora_bg02_AI26
oracle      2072       1  0 17:04 ?        00:00:01 ora_bg03_AI26
oracle      2084       1  0 17:04 ?        00:00:00 ora_dt00_AI26
oracle      2086       1  0 17:04 ?        00:00:00 ora_dt01_AI26
oracle      2093       1  0 17:04 ?        00:00:00 ora_d000_AI26
oracle      2095       1  0 17:04 ?        00:00:00 ora_s000_AI26
oracle      2097       1  0 17:04 ?        00:00:00 ora_tmon_AI26
oracle      2099       1  0 17:04 ?        00:00:00 ora_rcbg_AI26
root        2101       2  0 17:04 ?        00:00:00 [kworker/R-dio/d]
root        2111       2  0 17:04 ?        00:00:00 [kworker/R-dio/s]
oracle      2113       1  0 17:04 ?        00:00:02 ora_p000_AI26
oracle      2115       1  0 17:04 ?        00:00:01 ora_p001_AI26
oracle      2117       1  0 17:04 ?        00:00:00 ora_p002_AI26
oracle      2119       1  0 17:04 ?        00:00:00 ora_p003_AI26
oracle      2121       1  0 17:04 ?        00:00:00 ora_p004_AI26
oracle      2123       1  0 17:04 ?        00:00:00 ora_p005_AI26
oracle      2125       1  0 17:04 ?        00:00:00 ora_p006_AI26
oracle      2127       1  0 17:04 ?        00:00:00 ora_p007_AI26
oracle      2129       1  0 17:04 ?        00:00:00 ora_p008_AI26
oracle      2335       1  0 17:04 ?        00:00:00 ora_tt00_AI26
oracle      2337       1  0 17:04 ?        00:00:00 ora_tt01_AI26
root        2338    1078  0 17:04 ?        00:00:00 gdm-session-worker [pam/gdm-
gdm         2343       1  0 17:04 ?        00:00:00 /usr/lib/systemd/systemd --u
gdm         2345    2343  0 17:04 ?        00:00:00 (sd-pam)
oracle      2349       1  0 17:04 ?        00:00:01 ora_imco_AI26
gdm         2361    2338  0 17:04 tty1     00:00:00 /usr/libexec/gdm-wayland-ses
gdm         2363    2343  0 17:04 ?        00:00:00 /usr/bin/dbus-broker-launch 
gdm         2364    2363  0 17:04 ?        00:00:00 dbus-broker --log 4 --contro
gdm         2366    2361  0 17:04 tty1     00:00:00 dbus-run-session -- gnome-se
gdm         2367    2366  0 17:04 tty1     00:00:00 dbus-daemon --nofork --print
gdm         2368    2366  0 17:04 tty1     00:00:00 /usr/libexec/gnome-session-b
gdm         2376    2368  0 17:04 tty1     00:00:03 /usr/bin/gnome-shell
oracle      2381       1  0 17:04 ?        00:00:00 ora_gcw0_AI26
oracle      2390       1  0 17:04 ?        00:00:06 ora_gcr0_AI26
oracle      2395       1  0 17:04 ?        00:00:06 ora_gcr1_AI26
gdm         2421       1  0 17:04 tty1     00:00:00 /usr/libexec/at-spi-bus-laun
gdm         2426    2421  0 17:04 tty1     00:00:00 /usr/bin/dbus-daemon --confi
gdm         2436    2376  0 17:04 tty1     00:00:00 /usr/bin/Xwayland :1024 -roo
oracle      2440       1  0 17:04 ?        00:00:00 ora_p009_AI26
oracle      2442       1  0 17:04 ?        00:00:00 ora_p00a_AI26
oracle      2444       1  0 17:04 ?        00:00:00 ora_p00b_AI26
oracle      2446       1  0 17:04 ?        00:00:00 ora_p00c_AI26
oracle      2448       1  0 17:04 ?        00:00:00 ora_p00d_AI26
oracle      2450       1  0 17:04 ?        00:00:00 ora_p00e_AI26
oracle      2452       1  0 17:04 ?        00:00:00 ora_p00f_AI26
oracle      2454       1  0 17:04 ?        00:00:00 ora_p00g_AI26
oracle      2456       1  0 17:04 ?        00:00:00 ora_p00h_AI26
oracle      2458       1  0 17:04 ?        00:00:00 ora_p00i_AI26
oracle      2460       1  0 17:04 ?        00:00:00 ora_p00j_AI26
gdm         2468       1  0 17:04 tty1     00:00:00 /usr/libexec/xdg-permission-
root        2481       1  0 17:04 ?        00:00:00 /usr/bin/python3 -Es /usr/sb
gdm         2482    2343  0 17:04 ?        00:00:00 /usr/bin/pipewire
gdm         2483    2343  0 17:04 ?        00:00:00 /usr/bin/wireplumber
gdm         2484    2343  0 17:04 ?        00:00:00 /usr/bin/pipewire-pulse
root        2504       1  0 17:04 ?        00:00:00 /usr/sbin/wpa_supplicant -c 
gdm         2540       1  0 17:04 tty1     00:00:00 /usr/bin/gjs /usr/share/gnom
gdm         2542       1  0 17:04 tty1     00:00:00 /usr/libexec/at-spi2-registr
gdm         2554    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-sharing
gdm         2556    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-wacom
gdm         2558    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-color
gdm         2559    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-keyboard
gdm         2561    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-print-notif
gdm         2562    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-rfkill
gdm         2563    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-smartcard
gdm         2564    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-datetime
gdm         2568    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-media-keys
gdm         2569    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-screensaver
gdm         2572    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-sound
gdm         2582    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-a11y-settin
gdm         2588    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-housekeepin
gdm         2590    2368  0 17:04 tty1     00:00:00 /usr/libexec/gsd-power
colord      2716       1  0 17:04 ?        00:00:00 /usr/libexec/colord
gdm         2738       1  0 17:04 tty1     00:00:00 /usr/libexec/gsd-printer
gdm         2755    2376  0 17:04 tty1     00:00:00 ibus-daemon --panel disable 
gdm         2763       1  0 17:04 tty1     00:00:00 /usr/bin/gjs /usr/share/gnom
gdm         2766    2755  0 17:04 tty1     00:00:00 /usr/libexec/ibus-dconf
gdm         2770       1  0 17:04 tty1     00:00:00 /usr/libexec/ibus-x11 --kill
gdm         2783       1  0 17:04 tty1     00:00:00 /usr/libexec/ibus-portal
gdm         2814    2755  0 17:04 tty1     00:00:00 /usr/libexec/ibus-engine-sim
oracle      2844       1  0 17:04 ?        00:00:00 ora_aqpc_AI26
oracle      3047       1  0 17:04 ?        00:00:08 ora_m001_AI26
oracle      3049       1  0 17:04 ?        00:00:08 ora_m002_AI26
oracle      3051       1  0 17:04 ?        00:00:07 ora_m003_AI26
oracle      3055       1  0 17:04 ?        00:00:09 ora_m004_AI26
oracle      3057       1  0 17:04 ?        00:00:07 ora_m005_AI26
oracle      3061       1  0 17:04 ?        00:00:39 ora_cjq0_AI26
oracle      3063       1  0 17:04 ?        00:00:07 ora_m006_AI26
oracle      3073       1  0 17:04 ?        00:00:09 ora_m007_AI26
oracle      3075       1  0 17:04 ?        00:00:08 ora_m008_AI26
oracle      3143       1  0 17:04 ?        00:00:00 ora_qm02_AI26
oracle      3145       1  0 17:04 ?        00:00:00 ora_q001_AI26
oracle      3153       1  0 17:04 ?        00:00:01 ora_q005_AI26
oracle      3184       1  0 17:05 ?        00:00:00 ora_cl00_AI26
oracle      3186       1  0 17:05 ?        00:00:00 ora_cl01_AI26
oracle      3188       1  0 17:05 ?        00:00:00 ora_cl02_AI26
oracle      3190       1  0 17:05 ?        00:00:00 ora_cl03_AI26
root        3355       2  0 17:09 ?        00:00:00 [kworker/9:3]
root        5005       2  0 18:12 ?        00:00:00 [kworker/4:1-events]
root        5210       2  0 18:14 ?        00:00:00 [kworker/6:1]
root        5216       2  0 18:14 ?        00:00:00 [kworker/7:0-cgroup_destroy]
root        5563       2  0 18:37 ?        00:00:00 [kworker/4:0-cgroup_destroy]
root        6475       2  0 19:20 ?        00:00:00 [kworker/0:3-events]
oracle      6557       1  0 19:25 ?        00:00:01 ora_j001_AI26
root        6765       2  0 19:38 ?        00:00:00 [kworker/u40:3-events_unboun
root        6985       2  0 19:50 ?        00:00:00 [kworker/u40:2+events_unboun
root        7122       2  0 19:55 ?        00:00:00 [kworker/3:68-mm_percpu_wq]
root        7124       2  0 19:55 ?        00:00:00 [kworker/3:70-dio/dm-2]
root        7147       2  0 19:57 ?        00:00:00 [kworker/8:0-mm_percpu_wq]
root        7183       2  0 20:00 ?        00:00:00 [kworker/2:3-dio/dm-2]
root        7187       2  0 20:00 ?        00:00:00 [kworker/u40:1-events_unboun
root        7275       2  0 20:05 ?        00:00:00 [kworker/2:1-events]
oracle      7279       1  0 20:05 ?        00:00:01 ora_j000_AI26
root        7282       2  0 20:05 ?        00:00:00 [kworker/8:1-mm_percpu_wq]
root        7383       2  0 20:10 ?        00:00:00 [kworker/1:44-dio/dm-2]
root        7384       2  0 20:10 ?        00:00:00 [kworker/1:45-events]
oracle      7415       1  0 20:13 ?        00:00:00 ora_w001_AI26
oracle      7427       1  0 20:14 ?        00:00:00 ora_w000_AI26
root        7429       2  0 20:14 ?        00:00:00 [kworker/3:0-kdmflush/253:0]
root        7456       2  0 20:15 ?        00:00:00 [kworker/8:2-events]
root        7462    1034  0 20:16 ?        00:00:00 sshd: oracle [priv]
oracle      7467    7462  0 20:16 ?        00:00:00 sshd: oracle@pts/0
oracle      7470    7467  0 20:16 pts/0    00:00:00 bash -lc set +e cd '~' >/dev
root        7503       1  0 20:16 ?        00:00:00 /usr/lib/systemd/systemd-hos
oracle      7527    7470  0 20:16 pts/0    00:00:00 ps -ef
